rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
2400,Hokuto no Ken: Toki-den,7.38,https://myanimelist.net/anime/4312/Hokuto_no_Ken__Toki-den,7.38,#2401,#6843,"9,307",13,"Action, Martial Arts, Shounen"
2401,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",7.38,https://myanimelist.net/anime/54913/Shinmai_Ossan_Boukensha_Saikyou_Party_ni_Shinu_hodo_Kitaerarete_Muteki_ni_Naru,7.38,#2402,#1792,"130,848",429,"Action, Adventure, Fantasy"
2402,Shuumatsu Train Doko e Iku?,7.38,https://myanimelist.net/anime/53356/Shuumatsu_Train_Doko_e_Iku,7.38,#2403,#2684,"71,128",236,Adventure
2403,Slayers Evolution-R,7.38,https://myanimelist.net/anime/5233/Slayers_Evolution-R,7.38,#2404,#4013,"33,581",31,"Action, Adventure, Comedy, Fantasy"
2404,Taiho Shichau zo The Movie,7.38,https://myanimelist.net/anime/2013/Taiho_Shichau_zo_The_Movie,7.38,#2405,#6586,"10,193",13,"Action, Comedy, Drama, Adult Cast, Detective, Workplace, Seinen"
2405,Tottemo! Luckyman,7.38,https://myanimelist.net/anime/3672/Tottemo_Luckyman,7.38,#2406,#9506,"3,945",34,"Comedy, Sci-Fi, Gag Humor, Super Power, Shounen"
2406,Vandread: The Second Stage,7.38,https://myanimelist.net/anime/181/Vandread__The_Second_Stage,7.38,#2407,#3078,"55,549",120,"Action, Sci-Fi, Ecchi, Mecha, Space"
2407,X,7.38,https://myanimelist.net/anime/156/X,7.38,#2408,#2398,"85,273",757,"Action, Drama, Fantasy, Mystery, Super Power, Shoujo"
2408,Yuusha Keisatsu J-Decker,7.38,https://myanimelist.net/anime/5075/Yuusha_Keisatsu_J-Decker,7.38,#2409,#9087,"4,551",65,"Action, Adventure, Sci-Fi, Detective, Mecha"
2409,Joshiraku OVA,7.38,https://myanimelist.net/anime/15591/Joshiraku_OVA,7.38,#2410,#4681,"23,903",8,"Comedy, Adult Cast, Gag Humor, Parody, Performing Arts, Shounen"
2410,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,7.38,https://myanimelist.net/anime/38959/Lord_El-Melloi_II_Sei_no_Jikenbo__Rail_Zeppelin_Grace_Note,7.38,#2411,#1560,"156,614",437,"Fantasy, Mystery, Urban Fantasy"
2411,Mahouka Koukou no Rettousei,7.38,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,7.38,#2412,#139,"1,098,595","11,040","Action, Fantasy, Romance, Sci-Fi, School, Urban Fantasy"
2412,Major 2nd,7.38,https://myanimelist.net/anime/36565/Major_2nd,7.38,#2413,#3918,"35,019",74,"Sports, Team Sports, Shounen"
2413,Mardock Scramble: The Third Exhaust,7.38,https://myanimelist.net/anime/12053/Mardock_Scramble__The_Third_Exhaust,7.38,#2414,#3864,"36,147",53,"Action, Sci-Fi, Suspense, Psychological"
2414,Mayonaka Punch,7.38,https://myanimelist.net/anime/57947/Mayonaka_Punch,7.38,#2415,#3429,"45,594",181,"Comedy, Supernatural, Vampire"
2415,Medaka Box Abnormal,7.38,https://myanimelist.net/anime/14527/Medaka_Box_Abnormal,7.38,#2416,#1638,"147,225",285,"Action, Comedy, Ecchi, Martial Arts, School, Super Power, Shounen"
2416,Meitantei Holmes,7.38,https://myanimelist.net/anime/1972/Meitantei_Holmes,7.38,#2417,#5882,"13,519",79,"Action, Adventure, Comedy, Mystery, Anthropomorphic, Detective"
