rank,title,score,url,details_score,ranked,popularity,members,favorites,genres
4400,Mewkledreamy,6.98,https://myanimelist.net/anime/40327/Mewkledreamy,6.98,#4401,#7072,"8,596",30,"Adventure, Fantasy, Kids"
4401,Minami no Niji no Lucy,6.98,https://myanimelist.net/anime/2573/Minami_no_Niji_no_Lucy,6.98,#4402,#10195,"3,156",11,"Adventure, Slice of Life"
4402,Mizuiro Jidai,6.98,https://myanimelist.net/anime/1040/Mizuiro_Jidai,6.98,#4403,#8352,"5,718",19,"Drama, Romance, School, Shoujo"
4403,Nijiiro Hotaru: Eien no Natsuyasumi,6.98,https://myanimelist.net/anime/6219/Nijiiro_Hotaru__Eien_no_Natsuyasumi,6.98,#4404,#7217,"8,197",16,"Fantasy, Romance, Slice of Life, Time Travel"
4404,Pig: Oka no Ue no Dam Keeper,6.98,https://myanimelist.net/anime/34346/Pig__Oka_no_Ue_no_Dam_Keeper,6.98,#4405,#14067,984,5,Fantasy
4405,Project ARMS: The 2nd Chapter,6.98,https://myanimelist.net/anime/1493/Project_ARMS__The_2nd_Chapter,6.98,#4406,#7811,"6,709",8,"Action, Fantasy, Martial Arts, School, Super Power, Shounen"
4406,Baja no Studio,6.98,https://myanimelist.net/anime/35965/Baja_no_Studio,6.98,#4407,#8483,"5,516",6,"Fantasy, Kids"
4407,Benghuai 3rd: Dong Zhi Jiyi,6.98,https://myanimelist.net/anime/52771/Benghuai_3rd__Dong_Zhi_Jiyi,6.98,#4408,#17960,393,4,"Sports, Performing Arts"
4408,Bessatsu Olympia Kyklos,6.98,https://myanimelist.net/anime/41266/Bessatsu_Olympia_Kyklos,6.98,#4409,#5202,"18,513",78,"Comedy, Sports, Historical, Seinen"
4409,Chain Chronicle: Haecceitas no Hikari Part 2,6.98,https://myanimelist.net/anime/33729/Chain_Chronicle__Haecceitas_no_Hikari_Part_2,6.98,#4410,#5368,"17,070",10,"Action, Adventure, Fantasy"
4410,Dog Days',6.98,https://myanimelist.net/anime/11783/Dog_Days,6.98,#4411,#2086,"106,777",146,"Action, Adventure, Fantasy, Isekai"
4411,Dr. Slump,6.98,https://myanimelist.net/anime/3312/Dr_Slump,6.98,#4412,#5141,"19,139",50,"Comedy, Sci-Fi, Gag Humor, Shounen"
4412,Feng Yu Zhou,6.98,https://myanimelist.net/anime/38489/Feng_Yu_Zhou,6.98,#4413,#12085,"1,768",6,"Action, Adventure, Comedy, Drama, Fantasy, Historical, Mythology, Super Power"
4413,Gantz,6.98,https://myanimelist.net/anime/384/Gantz,6.98,#4414,#671,"367,181","2,439","Action, Drama, Horror, Sci-Fi, Suspense, Gore, High Stakes Game, Psychological, Survival, Seinen"
4414,H2O: Footprints in the Sand,6.98,https://myanimelist.net/anime/3299/H2O__Footprints_in_the_Sand,6.98,#4415,#2208,"97,781",378,"Drama, Romance, Supernatural, Harem, School"
4415,Halo Legends,6.98,https://myanimelist.net/anime/6867/Halo_Legends,6.98,#4416,#3549,"42,853",217,"Action, Drama, Sci-Fi, Military"
4416,Hitsugi no Chaika: Nerawareta Hitsugi/Yomigaeru Iseki,6.98,https://myanimelist.net/anime/24261/Hitsugi_no_Chaika__Nerawareta_Hitsugi_Yomigaeru_Iseki,6.98,#4417,#3568,"42,518",13,"Action, Adventure, Fantasy, Romance"
4417,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,6.98,https://myanimelist.net/anime/39419/Jian_Wang_3__Xia_Gan_Yi_Dan_Shen_Jianxin,6.98,#4418,#10563,"2,837",17,"Action, Adventure, Comedy, Historical, Martial Arts"
4418,Sengoku Youko: Yonaoshi Kyoudai-hen,6.98,https://myanimelist.net/anime/56242/Sengoku_Youko__Yonaoshi_Kyoudai-hen,6.98,#4419,#3068,"55,878",170,"Action, Adventure, Fantasy, Historical, Mythology, Shounen"
4419,Sora wo Kakeru Shoujo,6.98,https://myanimelist.net/anime/5307/Sora_wo_Kakeru_Shoujo,6.98,#4420,#4421,"27,247",47,"Adventure, Comedy, Sci-Fi, Space"
4420,Terra Formars,6.98,https://myanimelist.net/anime/22687/Terra_Formars,6.98,#4421,#1072,"236,528",634,"Action, Horror, Sci-Fi, Suspense, Gore, Space, Survival, Seinen"
4421,Tight-rope,6.98,https://myanimelist.net/anime/12695/Tight-rope,6.98,#4422,#3226,"50,843",120,Boys Love
4422,Uzaki-chan wa Asobitai!,6.98,https://myanimelist.net/anime/41226/Uzaki-chan_wa_Asobitai,6.98,#4423,#474,"495,057","1,752","Comedy, Adult Cast, Love Status Quo"
4423,Vampire Hunter D,6.98,https://myanimelist.net/anime/732/Vampire_Hunter_D,6.98,#4424,#2250,"95,217",395,"Action, Horror, Sci-Fi, Supernatural, Vampire"
4424,"Wake Up, Girls!",6.98,https://myanimelist.net/anime/19023/Wake_Up_Girls,6.98,#4425,#3083,"55,472",160,"Drama, Idols (Female), Music"
4425,Witch Craft Works,6.98,https://myanimelist.net/anime/21085/Witch_Craft_Works,6.98,#4426,#711,"351,073",790,"Action, Supernatural, School, Seinen"
4426,Wu Ying Sanqian Dao 2nd Season,6.98,https://myanimelist.net/anime/56439/Wu_Ying_Sanqian_Dao_2nd_Season,6.98,#4427,#15096,721,1,"Action, Adventure, Fantasy"
4427,Yuki no Joou (TV),6.98,https://myanimelist.net/anime/754/Yuki_no_Joou_TV,6.98,#4428,#8851,"4,949",16,"Adventure, Drama, Fantasy"
4428,Yuragi-sou no Yuuna-san,6.98,https://myanimelist.net/anime/36726/Yuragi-sou_no_Yuuna-san,6.98,#4429,#812,"311,939",820,"Comedy, Romance, Supernatural, Ecchi, Harem, Shounen"
4429,Ze Tian Ji 2nd Season,6.98,https://myanimelist.net/anime/37184/Ze_Tian_Ji_2nd_Season,6.98,#4430,#9486,"3,982",4,"Action, Adventure, Fantasy"
4430,Zombie-Loan Specials,6.98,https://myanimelist.net/anime/3354/Zombie-Loan_Specials,6.98,#4431,#4261,"29,346",18,"Action, Horror, Supernatural, Shounen"
4431,Shiguang Zhaoxiangguan de Richang,6.97,https://myanimelist.net/anime/50105/Shiguang_Zhaoxiangguan_de_Richang,6.97,#4432,#6539,"10,370",42,"Comedy, Time Travel"
4432,Strike the Blood III,6.97,https://myanimelist.net/anime/37449/Strike_the_Blood_III,6.97,#4433,#1846,"126,009",166,"Action, Fantasy, Ecchi, Harem, School, Urban Fantasy, Vampire"
4433,To LOVE-Ru,6.97,https://myanimelist.net/anime/3455/To_LOVE-Ru,6.97,#4434,#337,"655,255","4,216","Comedy, Romance, Sci-Fi, Ecchi, Harem, School, Shounen"
4434,Toriko: Jump Super Anime Tour 2009 Special,6.97,https://myanimelist.net/anime/6941/Toriko__Jump_Super_Anime_Tour_2009_Special,6.97,#4435,#7107,"8,511",9,"Action, Adventure, Comedy, Gourmet, Super Power, Shounen"
4435,ViVid Strike!,6.97,https://myanimelist.net/anime/33589/ViVid_Strike,6.97,#4436,#2321,"90,165",202,"Action, Drama, Martial Arts"
4436,Wangzhe Rongyao: Rongyao Zhi Zhang,6.97,https://myanimelist.net/anime/57699/Wangzhe_Rongyao__Rongyao_Zhi_Zhang,6.97,#4437,#14157,952,4,"Action, Adventure, Fantasy, Historical, Martial Arts"
